Server running on port 3000
Received update for TIME_000001: 10015775898
Received update for USLAB000027: 0.000109679416178914835157225116102353013047832064330577850341796875
Received update for NODE2000006: 8
Received update for S0000001: 24.5855655670166015625
Received update for NODE3000012: 17.1698589324951171875
Received update for S0000005: 41.2653656005859375
Received update for S0000004: 41.0193023681640625
Received update for S0000003: 319.047210693359375
Received update for USLAB000085: 0
Received update for USLAB000085: 0.09765625
Received update for TIME_000001: 10015775918
Received update for USLAB000084: 1429654194
Received update for TIME_000001: 10015776000
Received update for USLAB000085: 0.19921875
Received update for TIME_000001: 10015776020
Received update for TIME_000001: 10015776097
Received update for USLAB000085: 0.296875
Received update for TIME_000001: 10015776117
Received update for TIME_000001: 10015776199
Received update for USLAB000085: 0.3984375
Received update for TIME_000001: 10015776219
Received update for TIME_000001: 10015776296
Received update for USLAB000085: 0.5
Received update for TIME_000001: 10015776316
Received update for TIME_000001: 10015776398
Received update for USLAB000085: 0.59765625
Received update for TIME_000001: 10015776418
Received update for TIME_000001: 10015776500
Received update for USLAB000085: 0.69921875
Received update for TIME_000001: 10015776520
Received update for TIME_000001: 10015776597
Received update for USLAB000085: 0.796875
Received update for Z1000015: -14.66675090789794921875
Received update for Z1000014: -44.86817169189453125
Received update for P1000004: 65.56874847412109375
Received update for P1000005: 46.612499237060546875
Received update for P1000002: 2391.0244140625
Received update for AIRLOCK000003: -0.02866799943149089813232421875
Received update for AIRLOCK000002: 0.001210000016726553440093994140625
Received update for AIRLOCK000005: -0.004250000230967998504638671875
Received update for USLAB000018: 0.99698626995086669921875
Received update for USLAB000019: 0.0042043686844408512115478515625
Received update for USLAB000010: 5.794358730316162109375
Received update for USLAB000009: 1131.2531132667236306588165462017059326171875
Received update for TIME_000001: 10015776617
Received update for USLAB000008: -0.064127897982202475279933651108876802027225494384765625
Received update for TIME_000001: 10015776699
Received update for USLAB000085: 0.8984375
Received update for TIME_000001: 10015776719
Received update for USLAB000007: 6.66508282770538329486953443847596645355224609375
Received update for AIRLOCK000055: 11366.0068359375
Received update for USLAB000006: -0.384617671615958223174658314746920950710773468017578125
Received update for USLAB000025: 0.004781716929344111306765530144957665470428764820098876953125
Received update for USLAB000026: -0.06468498948819469129833947818042361177504062652587890625
Received update for S1000001: 3371.66650390625
Received update for USLAB000024: 0.01132304696504725198547003373050756636075675487518310546875
Received update for S6000007: 33.9532470703125
Received update for USLAB000023: -0.1459407308592461094409742372590699233114719390869140625
Received update for USLAB000020: -0.069559939205646514892578125
Received update for USLAB000021: -0.0340889990329742431640625
Received update for USLAB000022: -0.15013925764742308555099725708714686334133148193359375
Received update for TIME_000001: 10015776796
Received update for TIME_000001: 10015776816
Received update for TIME_000001: 10015776898
Received update for USLAB000027: 0.00019443219210161260981743758247120013038511388003826141357421875
Received update for USLAB000053: 161.716912091884609026237740181386470794677734375
Received update for S0000005: 41.20130157470703125
Received update for S0000004: 40.9588775634765625
Received update for USLAB000055: 1.953936762901395507441293375450186431407928466796875
Received update for S0000003: 319.102142333984375
Received update for USLAB000054: 571.67925942108149683917872607707977294921875
Received update for USLAB000082: 54211
Received update for NODE2000006: 7.9375
Received update for S0000001: 24.5745792388916015625
Received update for S1000005: 46.65000152587890625
Received update for S1000004: 65.5500030517578125
Received update for S1000003: 3.7017023563385009765625
